,dir,hir,lvr,ccs,mcs,pbcr,dmi,self,single,uria,comdominiom,black,deny
66,0.285,0.26,0.65,1,2,no,no,yes,no,3.900000095,0,yes,no
67,0.365,0.24,0.940397351,2,2,no,no,no,no,3.099999905,0,no,no
68,0.337000008,0.313999996,0.425531915,4,1,no,no,no,no,3.200000048,0,no,no
69,0.35,0.27,0.678571429,1,1,no,no,no,yes,3.200000048,1,no,no
70,0.352000008,0.288999996,0.884615385,2,2,no,no,no,yes,3.200000048,1,no,no
71,0.35,0.28,0.939189189,1,1,no,no,no,no,3.200000048,0,no,no
72,0.344000015,0.251000004,0.902439024,1,2,no,no,no,no,3.099999905,0,no,no
73,0.28,0.28,0.738255034,1,2,no,no,no,yes,3.200000048,0,no,no
74,0.377999992,0.225,0.899470899,2,2,no,no,no,no,4.300000191,0,no,no
75,0.257999992,0.193999996,0.677966102,2,2,no,no,no,no,5.300000191,0,no,no
76,0.217999992,0.081999998,0.802197802,2,1,no,no,yes,no,10.60000038,0,no,no
77,0.23,0.17,0.553072626,1,1,no,no,no,no,3.099999905,0,no,no
78,0.285,0.285,0.651567944,1,2,no,no,no,no,3.200000048,0,no,no
79,0.265,0.265,0.835164835,2,2,yes,yes,no,no,4.300000191,0,no,yes
80,0.36,0.24,0.784313725,1,4,no,no,no,yes,5.300000191,1,no,no
81,0.272000008,0.27,0.666666667,1,1,no,no,no,no,2,0,no,no
82,0.36,0.22,0.801136364,2,1,no,no,yes,yes,3.200000048,1,no,no
83,0.31,0.31,0.882352941,4,2,no,no,no,no,3.200000048,0,yes,yes
84,0.359000015,0.288999996,0.902985075,2,2,no,no,no,yes,4.300000191,0,no,yes
85,0.397000008,0.243999996,0.660377358,2,1,no,no,no,no,3.200000048,0,no,no
86,0.34,0.26,0.746753247,2,1,no,no,yes,no,10.60000038,0,no,no
87,0.218999996,0.212999992,0.767676768,2,2,no,no,no,no,4.300000191,0,yes,yes
88,0.32,0.32,0.85,1,2,no,no,no,yes,4.300000191,0,no,no
89,0.32,0.24,0.948148148,1,2,no,no,no,no,4.300000191,0,no,no
90,0.28,0.28,0.434782609,1,2,no,no,no,yes,2,0,no,no
91,0.387999992,0.32,0.888111888,3,2,no,no,no,no,2,0,yes,yes
92,0.25,0.18,0.782608696,1,2,no,no,no,yes,3.200000048,1,no,no
93,0.34,0.25,0.8,1,1,no,no,no,no,10.60000038,0,no,no
94,0.32,0.22,0.730593607,2,2,no,no,no,yes,3.200000048,0,no,no
95,0.312000008,0.256000004,0.792207792,1,2,no,no,yes,no,1.799999952,0,no,no
96,0.33,0.31,0.580246914,1,2,no,no,no,yes,4.300000191,1,no,no
97,0.32,0.31,0.636363636,2,2,no,no,no,no,3.200000048,0,no,no
98,0.38,0.3,0.876470588,2,1,no,no,no,no,10.60000038,0,no,no
99,0.32,0.2,0.796992481,1,2,no,no,no,no,2,0,no,no
100,0.23,0.22,0.922222222,1,2,no,no,no,no,4.300000191,0,no,no
101,0.27,0.27,0.751269036,2,2,no,no,no,no,4.300000191,0,no,no
102,0.313999996,0.313999996,0.666666667,5,1,no,no,no,yes,1.799999952,0,no,no
103,0.35,0.23,0.851851852,3,2,no,no,no,yes,3.900000095,0,no,no
104,0.32,0.27,0.743362832,2,2,no,no,yes,yes,3.200000048,0,no,no
105,0.357999992,0.101999998,0.8,1,1,no,no,no,no,3.900000095,0,no,no
106,0.35,0.33,0.9296875,1,2,no,yes,no,yes,3.900000095,0,no,yes
107,0.34,0.24,0.922535211,3,2,no,no,no,no,3.099999905,0,no,no
108,0.31,0.22,0.8,2,2,no,no,yes,yes,10.60000038,0,no,no
109,0.29,0.21,0.703225806,3,3,no,no,no,no,3.099999905,0,no,no
110,0.61,0.39,0.555555556,1,2,no,no,no,no,10.60000038,0,no,yes
111,0.262999992,0.226000004,0.625407166,1,1,no,no,no,no,3.200000048,0,no,no
112,0.262000008,0.257999992,0.687022901,2,2,no,no,no,yes,4.300000191,0,no,no
113,0.36,0.288999996,0.7875,1,2,no,no,no,no,3.200000048,0,no,no
114,0.46,0.31,1.105555556,2,1,no,no,yes,yes,4.300000191,0,no,yes
115,0.305,0.217999992,0.666666667,1,2,no,no,no,no,3.200000048,0,no,no
116,0.384000015,0.28,0.506666667,2,2,no,no,no,yes,3.900000095,0,no,no
117,0.263999996,0.215,0.78817734,1,2,no,no,yes,no,10.60000038,0,no,no
118,0.33,0.308999996,0.302325581,1,1,no,no,no,no,3.200000048,0,no,no
119,0.47,0.31,0.89261745,3,2,no,no,yes,yes,3.200000048,0,yes,yes
120,0.19,0.18,0.738888889,1,2,no,no,no,no,1.799999952,0,no,no
121,0.3,0.3,0.894736842,4,2,no,no,no,yes,4.300000191,0,no,no
122,0.36,0.26,0.738636364,1,1,no,no,no,no,3.900000095,0,no,no
123,0.33,0.26,0.7,1,2,no,no,no,yes,3.900000095,0,no,no
124,0.23,0.23,0.736842105,1,2,no,no,no,yes,3.099999905,1,no,no
125,0.41,0.34,0.8,3,1,no,no,no,no,3.200000048,0,no,no
126,0.36,0.3,0.950617284,2,2,no,no,no,no,1.799999952,0,no,no
127,0.41,0.33,0.694594595,1,2,no,no,no,no,1.799999952,0,no,yes
128,0.33,0.33,0.681818182,1,2,no,no,no,no,5.300000191,0,no,no
129,0.29,0.29,0.571428571,6,2,yes,no,no,yes,1.799999952,1,no,yes
130,0.41,0.28,0.786786787,1,1,no,no,no,no,3.099999905,0,no,no
131,0.33,0.28,0.89787234,1,2,no,no,no,no,3.599999905,0,no,no
132,0.23,0.19,0.889175258,1,1,no,no,no,no,3.200000048,0,no,no
133,0.39,0.34,0.717037037,1,1,no,no,yes,no,3.200000048,0,no,no
134,0.39,0.15,0.798469388,5,1,no,no,yes,no,3.200000048,0,no,no
135,0.27,0.24,0.8,1,1,no,no,no,no,3.200000048,0,no,no
136,0.384000015,0.141999998,0.8,1,1,no,no,yes,yes,4.300000191,1,no,no
137,0.382000008,0.277000008,0.804123711,6,2,no,no,no,yes,3.900000095,1,yes,no
138,0.37,0.261000004,0.581300813,1,2,no,no,no,no,3.200000048,0,no,no
139,0.325,0.322999992,0.781914894,4,2,no,no,no,yes,3.200000048,1,no,no
140,0.397999992,0.357999992,0.642857143,1,1,no,no,no,yes,3.200000048,0,no,no
141,0.395,0.306000004,0.8,2,2,no,no,no,yes,3.200000048,1,no,no
142,0.407000008,0.337000008,0.74893617,1,2,no,no,no,yes,3.200000048,1,no,no
143,0.301000004,0.198999996,0.779069767,1,2,no,no,no,yes,1.799999952,1,no,no
144,0.365,0.317999992,0.9,1,2,no,no,no,yes,3.200000048,0,no,no
145,0.266000004,0.257000008,0.797752809,1,2,no,no,no,yes,3.200000048,1,no,no
146,0.267999992,0.242000008,0.894736842,1,2,no,no,no,no,3.200000048,1,no,no
147,0.268999996,0.226000004,0.798780488,1,2,no,no,no,no,3.900000095,1,no,no
148,0.409000015,0.315,0.887850467,6,2,no,no,no,yes,3.200000048,0,yes,no
149,0.307999992,0.28,0.581395349,6,2,no,no,no,no,3.200000048,0,no,no
150,0.311000004,0.311000004,0.666666667,5,2,no,no,no,yes,3.200000048,1,no,no
151,0.36,0.3,0.862745098,1,2,no,no,no,no,1.799999952,1,yes,no
152,0.39,0.31,0.813333333,2,2,no,no,no,no,3.200000048,0,no,no
153,0.32,0.32,0.732307692,1,2,no,no,no,no,3.200000048,0,no,no
154,0.18,0.16,0.314814815,1,2,no,no,no,no,5.300000191,0,no,no
155,0.34,0.27,0.379807692,6,2,no,no,no,no,1.799999952,0,no,no
156,0.327999992,0.327999992,0.868965517,1,2,no,no,no,yes,3.099999905,1,yes,no
157,0.383800011,0.289400005,0.987951807,6,2,no,no,no,yes,3.200000048,1,yes,yes
158,0.337999992,0.252999992,0.9,6,2,no,no,no,no,3.200000048,1,yes,no
159,0.281000004,0.271000004,0.4675,1,2,no,no,no,no,3.200000048,0,no,no
160,0.392299995,0.333800011,0.902255639,6,2,yes,no,no,yes,4.300000191,1,yes,yes
161,0.362999992,0.208999996,0.471380471,1,1,no,no,no,no,3.200000048,0,no,no
162,0.245799999,0.230799999,0.311111111,1,1,no,no,no,no,2,0,no,no
163,0.382099991,0.330900002,0.797297297,1,2,no,no,no,no,3.200000048,0,no,no
164,0.32,0.28,0.65,1,1,no,no,no,no,2,0,no,no
165,0.286000004,0.255,0.65,5,2,no,no,no,no,2,1,yes,no
166,0.266000004,0.21,0.555555556,2,1,no,no,no,yes,1.799999952,0,no,no
167,0.315,0.287000008,0.901315789,1,1,no,no,no,no,3.200000048,0,yes,no
168,0.304699993,0.238999996,0.47826087,1,2,no,no,no,yes,3.599999905,0,yes,no
169,0.337999992,0.292000008,0.902857143,1,2,no,no,no,yes,3.200000048,0,no,no
170,0.365999985,0.272999992,0.651785714,1,2,no,no,no,yes,3.200000048,1,no,no
171,0.370999985,0.245,0.593220339,1,2,no,no,yes,no,3.200000048,1,yes,no
172,0.380999985,0.318999996,0.315581854,1,2,no,no,no,no,3.599999905,0,no,no
173,0.35,0.31,0.898550725,1,2,no,no,no,yes,3.900000095,1,yes,no
174,0.34,0.29,0.952380952,2,2,no,no,no,no,5.300000191,0,yes,no
175,0.265200005,0.2125,0.891089109,6,2,no,no,no,no,3.599999905,0,no,no
176,0.35,0.26,0.9,2,2,no,no,no,yes,3.200000048,0,no,no
177,0.39,0.26,0.902255639,6,2,no,no,no,yes,3.200000048,1,yes,yes
178,0.39,0.24,0.779661017,2,2,no,no,yes,yes,4.300000191,0,no,yes
179,0.3,0.17,0.402173913,1,1,no,no,no,no,3.099999905,0,no,no
180,0.29,0.29,0.709090909,1,1,no,no,no,no,1.799999952,0,no,no
181,0.35,0.34,0.80148423,1,2,no,no,no,no,3.599999905,1,no,no
182,0.39,0.27,0.833333333,1,1,no,no,no,yes,2,0,no,no
183,0.36,0.28,0.903703704,6,2,no,no,no,yes,3.900000095,0,yes,no
184,0.26,0.26,0.736111111,1,1,no,no,no,yes,1.799999952,1,no,no
185,0.36,0.23,0.7421875,1,1,no,no,no,yes,3.200000048,1,no,no
186,0.27,0.22,0.774011299,1,2,no,no,no,no,3.900000095,0,no,no
187,0.357000008,0.2,0.8,5,2,no,no,no,yes,3.099999905,1,no,no
188,0.3,0.197000008,0.883495146,1,2,no,no,no,no,3.099999905,1,yes,no
189,0.39,0.29,0.905660377,1,2,no,no,no,no,2,1,yes,no
190,0.31,0.3,0.897959184,1,2,no,no,no,no,1.799999952,0,no,no
191,0.43,0.21,0.5625,2,1,no,no,yes,no,3.200000048,1,no,yes
192,0.4,0.26,0.531468531,6,2,yes,yes,no,no,3.200000048,0,yes,yes
193,0.34,0.23,0.883928571,6,2,no,no,no,yes,3.099999905,0,yes,no
194,0.405999985,0.405999985,0.898305085,4,2,no,no,yes,no,3.599999905,0,no,yes
195,0.23,0.13,0.338164251,1,2,no,no,no,no,3.599999905,0,no,yes
196,0.73,0.37,0.456273764,1,1,no,no,yes,yes,3.200000048,0,no,yes
197,0.38,0.35,0.577235772,1,2,no,no,no,yes,2,1,yes,no
198,0.382999992,0.360900002,0.608,1,2,no,no,no,yes,3.099999905,1,yes,no
199,0.32,0.221000004,0.897196262,1,2,no,no,no,no,10.60000038,1,no,no
200,0.292999992,0.25,0.852173913,1,2,no,no,no,no,3.900000095,0,no,no
201,0.240300007,0.235,0.256410256,1,2,no,no,no,yes,1.799999952,1,no,no
202,0.193999996,0.115,0.727777778,2,2,no,no,no,yes,3.200000048,1,no,no
203,0.293999996,0.258999996,0.573770492,6,2,no,no,no,yes,1.799999952,1,yes,no
204,0.382000008,0.268999996,0.608,2,2,no,no,no,yes,3.200000048,1,yes,no
205,0.379799995,0.279599991,0.608,6,2,no,no,yes,yes,3.200000048,1,yes,no
206,0.335900002,0.219400005,0.809859155,1,2,no,no,no,no,3.200000048,0,yes,no
207,0.390299988,0.277199993,0.608,6,2,no,no,no,yes,3.900000095,1,yes,no
208,0.392799988,0.303799992,0.8,6,2,no,no,no,yes,3.900000095,1,yes,no
209,0.28,0.28,0.826086957,5,2,no,no,no,no,3.599999905,0,no,no
210,0.31,0.26,0.896825397,1,2,no,no,no,no,3.599999905,0,no,no
211,0.384099998,0.209099998,0.8,1,2,no,no,yes,yes,3.599999905,1,no,no
212,0.334000015,0.286000004,0.889655172,1,2,no,no,no,yes,3.900000095,0,yes,no
213,0.29,0.26,0.892473118,1,2,no,no,no,yes,3.900000095,1,yes,no
214,0.330900002,0.300499992,0.745762712,1,2,no,no,no,yes,1.799999952,1,no,no
215,0.336899986,0.321399994,0.933333333,1,2,no,no,no,yes,2,0,yes,no
216,0.342299995,0.313999996,0.861244019,1,2,no,no,no,no,10.60000038,0,no,no
217,0.302700005,0.257700005,0.954545455,5,2,no,no,no,yes,3.900000095,0,yes,yes
218,0.319099998,0.265200005,0.79245283,1,2,no,no,no,no,3.099999905,1,no,no
219,0.246299992,0.211000004,0.688073394,1,2,no,no,no,no,4.300000191,1,no,no
220,0.286000004,0.252700005,0.753488372,2,2,no,no,yes,no,10.60000038,0,no,no
221,0.27,0.27,0.79787234,6,2,no,no,no,yes,3.200000048,0,no,no
222,0.282000008,0.251200008,0.9,2,2,no,no,yes,yes,4.300000191,0,no,no
223,0.324399986,0.291800003,0.564796905,1,1,no,no,yes,yes,1.799999952,1,no,no
224,0.347999992,0.188899994,0.737967914,2,2,no,no,yes,no,3.900000095,0,no,no
225,0.296000004,0.296000004,0.479233227,4,2,no,no,no,yes,1.799999952,1,no,no
226,0.319799995,0.262700005,0.532258065,5,1,no,no,no,no,3.200000048,0,no,no
227,0.400099983,0.278799992,0.407843137,1,2,no,no,yes,yes,3.200000048,0,no,no
228,0.276299992,0.254400005,0.748502994,2,2,no,no,no,no,2,0,no,no
229,0.352400017,0.289899998,0.748091603,2,2,no,no,no,yes,3.900000095,0,no,no
230,0.123800001,0.121800003,0.693069307,1,2,no,no,no,no,1.799999952,0,no,no
231,0.34,0.27,1.908333333,1,2,no,no,no,yes,3.099999905,1,no,no
232,0.211599998,0.181800003,0.516129032,1,2,no,no,yes,no,10.60000038,0,no,no
233,0.282600002,0.275200005,0.471177945,1,1,no,no,no,no,1.799999952,0,no,no
234,0.288999996,0.284599991,0.740740741,1,1,no,no,no,no,3.200000048,0,no,no
235,0.3,0.25,0.771276596,5,1,no,no,no,no,10.60000038,0,no,no
236,0.36,0.28,0.735930736,3,2,no,no,no,no,3.099999905,0,no,no
237,0.32,0.27,0.564102564,1,1,no,no,no,no,3.900000095,0,no,no
238,0.32,0.32,0.6875,1,1,no,no,no,no,3.200000048,0,no,yes
239,0.26,0.2,0.735714286,5,1,no,no,no,no,3.200000048,0,no,no
240,0.26,0.21,0.70754717,2,1,no,no,no,no,3.599999905,0,no,no
241,0.32,0.26,0.794444444,2,1,no,no,yes,yes,1.799999952,1,no,yes
242,0.42,0.33,0.8,3,3,yes,no,no,yes,3.200000048,0,yes,no
243,0.34,0.33,0.643410853,5,2,no,no,no,yes,1.799999952,1,no,no
244,0.37,0.34,0.87755102,1,2,no,no,no,no,3.099999905,0,no,no
245,0.29,0.28,0.592592593,1,2,no,no,no,yes,2,0,no,no
246,0.35,0.31,0.72,1,2,no,no,no,yes,1.799999952,0,no,no
247,0.4,0.27,0.8,1,2,no,no,no,yes,4.300000191,1,no,no
248,0.36,0.3,0.926315789,1,2,no,no,no,yes,3.200000048,1,no,no
249,0.38,0.27,0.704545455,1,1,no,no,no,no,3.900000095,0,no,no
250,0.37,0.26,0.577777778,1,1,no,no,no,no,2,0,no,no
251,0.41,0.23,0.705660377,1,1,no,no,no,yes,1.799999952,0,no,no
252,0.32,0.31,0.277777778,1,2,no,no,no,yes,3.200000048,1,no,no
253,0.33,0.26,0.946236559,1,2,no,no,no,no,4.300000191,0,no,no
254,0.33,0.26,0.817647059,1,2,no,no,no,no,10.60000038,0,no,no
255,0.29,0.21,0.3125,1,2,no,no,no,yes,3.200000048,0,no,no
256,0.37,0.11,0.340909091,6,1,no,no,yes,yes,3.200000048,0,no,no
257,0.36,0.2,0.898809524,6,2,yes,no,no,yes,5.300000191,0,no,no
258,0.37,0.3,0.764705882,1,2,no,no,no,no,3.599999905,0,no,no
259,0.3,0.3,0.529411765,1,1,no,no,no,yes,5.300000191,0,no,no
260,0.34,0.34,0.811764706,1,2,no,no,no,no,3.599999905,0,no,no
261,0.42,0.26,0.75,2,2,no,no,yes,no,3.200000048,0,no,no
262,0.2,0.08,0.111111111,1,1,no,no,no,no,3.200000048,1,no,no
263,0.3,0.29,0.533333333,2,1,no,no,no,no,3.099999905,0,no,no
264,0.38,0.27,0.934375,2,1,no,no,no,no,3.200000048,0,no,no
265,0.34,0.31,0.921212121,6,2,no,no,no,yes,5.300000191,0,no,no
266,0.29,0.26,0.667857143,1,1,no,no,yes,no,4.300000191,0,no,no
267,0.32,0.29,0.916666667,1,2,no,no,no,no,3.099999905,0,no,no
268,0.36,0.3,0.94375,2,2,no,no,no,no,3.200000048,0,no,no
269,0.41,0.3,0.652173913,1,1,no,no,no,no,3.200000048,0,no,no
270,0.32,0.28,0.474452555,1,2,no,no,no,yes,1.799999952,1,no,no
271,0.38,0.31,0.824,1,2,no,no,no,no,10.60000038,0,yes,no
272,0.2,0.04,0.485074627,3,1,no,no,no,yes,3.599999905,1,no,no
273,0.28,0.22,0.923076923,4,2,no,no,no,yes,3.099999905,0,no,no
274,0.25,0.25,0.555555556,4,2,no,no,no,no,3.099999905,0,no,no
275,0.29,0.28,0.575384615,1,2,no,no,no,no,3.200000048,0,no,no
276,0.49,0.37,0.915584416,2,1,no,no,no,yes,3.200000048,0,no,yes
277,0.33,0.24,0.889473684,1,2,no,no,no,no,3.099999905,0,no,no
278,0.45,0.21,0.801587302,2,1,no,no,no,no,3.099999905,0,no,no
279,0.41,0.35,0.922580645,1,2,no,yes,no,yes,4.300000191,0,no,yes
280,0.35,0.28,0.838709677,1,2,no,no,no,no,3.099999905,0,no,no
281,0.35,0.3,0.350877193,2,3,no,no,no,no,3.900000095,0,no,no
282,0.08,0.07,0.732984293,1,2,no,no,yes,no,3.900000095,0,no,no
283,0.25,0.25,0.503703704,1,2,no,no,no,yes,4.300000191,0,no,no
284,0.48,0.15,0.726666667,1,2,no,no,no,no,4.300000191,0,no,no
285,0.36,0.01,1.465116279,1,2,no,no,yes,no,1.799999952,1,no,no
286,0.32,0.31,0.84057971,1,2,no,no,no,no,10.60000038,0,no,no
287,0.27,0.2,0.843881857,1,2,no,no,no,no,10.60000038,0,no,no
288,0.34,0.27,0.793103448,1,1,no,no,no,no,3.200000048,0,no,no
289,0.33,0.3,0.784671533,6,2,yes,no,no,yes,3.200000048,0,no,no
290,0.28,0.33,0.628571429,1,2,yes,no,no,no,3.200000048,0,no,no
291,0.34,0.26,0.898876404,2,1,no,no,no,no,3.200000048,0,no,no
292,0.37,0.36,0.756164384,1,2,no,no,no,yes,3.200000048,0,no,no
293,0.3,0.26,0.734567901,4,2,no,no,no,yes,3.200000048,0,no,no
294,0.36,0.33,0.68877551,1,2,no,no,no,no,1.799999952,0,no,no
295,0.355099983,0.199799995,0.501432665,3,4,no,no,yes,no,3.599999905,0,no,no
296,0.25,0.19,0.731428571,2,2,no,no,yes,yes,3.200000048,0,no,no
297,0.14,0.13,0.34965035,4,1,no,no,no,no,1.799999952,0,no,no
298,0.44,0.2,0.416666667,1,1,no,no,yes,no,10.60000038,1,no,no
299,0.45,0.3,1.148148148,1,2,no,no,no,no,3.200000048,0,no,no
300,0.37,0.26,0.802469136,1,2,no,no,yes,no,10.60000038,0,no,no
301,0.34,0.3,0.797402597,1,1,no,no,no,no,4.300000191,0,no,no
302,0.270400009,0.1675,0.786982249,3,3,no,no,no,no,3.099999905,1,no,no
303,0.23,0.23,0.635359116,2,2,no,no,no,no,5.300000191,0,no,no
304,0.34,0.29,0.946564885,1,2,no,no,no,yes,3.200000048,0,no,no
305,0.33,0.26,0.727891156,2,2,no,no,no,yes,5.300000191,0,no,no
306,0.375,0.269699993,0.785714286,1,2,no,no,no,yes,3.200000048,0,no,no
307,0.335699997,0.324599991,0.773684211,1,1,no,no,no,no,2,0,no,no
308,0.277900009,0.00085,0.628571429,1,2,no,no,no,no,3.200000048,0,no,no
309,0.41,0.12,0.488888889,1,1,no,no,no,no,3.599999905,0,no,no
310,0.362900009,0.301499996,0.516666667,1,1,no,no,no,no,3.200000048,0,no,no
311,0.308799992,0.225599995,0.782352941,1,2,no,no,no,no,3.099999905,0,no,no
312,0.365999985,0.282000008,0.718518519,1,2,no,no,no,no,4.300000191,0,no,no
313,0.314899998,0.257900009,0.875912409,1,2,no,no,no,yes,4.300000191,0,no,no
314,0.275200005,0.203299999,0.80952381,1,1,no,no,no,no,3.599999905,1,no,no
315,0.35,0.2,0.503875969,3,1,no,no,no,no,5.300000191,0,no,no
316,0.332700005,0.267700005,0.714285714,1,2,no,no,no,yes,3.599999905,0,no,no
317,0.32,0.26,0.469483568,3,3,no,no,no,no,10.60000038,0,no,no
318,0.264200001,0.258500004,0.783333333,1,1,no,yes,no,no,3.200000048,1,no,yes
319,0.339700012,0.178199997,0.5,2,1,no,no,no,no,10.60000038,0,no,yes
320,0.339700012,0.178199997,0.5,2,1,no,no,no,no,10.60000038,0,no,yes
321,0.360600014,0.280200005,0.718518519,1,2,no,no,no,no,3.599999905,0,no,no
322,0.376800003,0.202000008,0.884057971,1,1,no,no,yes,no,1.799999952,0,no,no
323,0.301000004,0.277999992,0.861538462,2,2,no,no,no,no,3.200000048,0,yes,no
324,0.54,0.54,0.75,4,2,no,no,no,yes,3.200000048,0,no,no
325,0.350999985,0.337000008,0.623493976,4,2,no,no,no,no,3.099999905,0,no,no
326,0.389000015,0.271000004,0.919230769,6,2,no,no,no,yes,3.099999905,1,no,no
327,0.43,0.32,0.794044665,6,3,no,no,yes,no,3.200000048,0,no,yes
328,0.43,0.43,0.798004988,2,2,yes,no,yes,no,3.900000095,0,no,yes
329,0.15,0.05,0.658064516,6,1,no,no,no,no,10.60000038,0,no,no
330,0.34,0.28,0.895833333,1,2,no,no,no,yes,4.300000191,0,no,no
331,0.31,0.21,0.7,2,1,no,no,no,yes,1.799999952,1,no,no
332,0.37,0.28,0.911392405,2,2,no,no,no,no,3.200000048,0,no,no
333,0.31,0.27,0.883211679,1,2,no,no,no,no,5.300000191,0,no,no
334,0.3,0.2,0.894736842,1,2,no,no,no,no,3.200000048,1,no,no
