Age,Job,Income,Schooling,Married_Status,Job_Type,Color_Race,Gender,Place
52, Private,277000, Bachelors, Married-civ-spouse, Other-service, White, Male, Cuba
46, Private,52000, HS-grad, Married-civ-spouse, Other-service, White, Female, United-States
59, Private,160000, HS-grad, Married-civ-spouse, Sales, White, Male, United-States
44, Private,344000, HS-grad, Divorced, Craft-repair, White, Female, United-States
53, Private,346000, HS-grad, Divorced, Sales, White, Female, United-States
49, Local-gov,268000, HS-grad, Married-civ-spouse, Protective-serv, White, Male, United-States
33, Private,202000, Masters, Married-civ-spouse, Prof-specialty, White, Male, United-States
30, Private,54000, 9th, Never-married, Sales, White, Male, United-States
43, Federal-gov,411000, Doctorate, Never-married, Prof-specialty, White, Female, United-States
57, Private,250000, Assoc-voc, Married-civ-spouse, Prof-specialty, White, Male, United-States
37, Private,287000, Some-college, Divorced, Craft-repair, White, Female, United-States
28, Private,213000, Some-college, Divorced, Machine-op-inspct, Black, Female, United-States
30, Private,118000, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Female, ?
34, Local-gov,226000, Bachelors, Married-civ-spouse, Protective-serv, White, Male, United-States
29, Local-gov,116000, Some-college, Never-married, Handlers-cleaners, White, Male, United-States
48, Self-emp-not-inc,191000, Doctorate, Married-civ-spouse, Prof-specialty, White, Male, United-States
37, Private,203000, Some-college, Married-civ-spouse, Sales, White, Male, United-States
48, Private,171000, Assoc-acdm, Divorced, Exec-managerial, White, Female, England
32, Federal-gov,249000, HS-grad, Never-married, Other-service, Black, Male, United-States
76, Private,124000, Masters, Married-civ-spouse, Exec-managerial, White, Male, United-States
44, Private,198000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States
47, Self-emp-not-inc,149000, Masters, Never-married, Prof-specialty, White, Female, United-States
20, Private,188000, Some-college, Never-married, Tech-support, White, Female, United-States
29, Private,103000, HS-grad, Never-married, Craft-repair, White, Male, United-States
32, Self-emp-inc,318000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
17, ?,305000, 10th, Never-married, ?, White, Female, United-States
30, Private,195000, 11th, Never-married, Handlers-cleaners, White, Male, United-States
31, Local-gov,189000, HS-grad, Never-married, Adm-clerical, White, Female, United-States
42, Private,125000, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male, United-States
24, Private,432000, Bachelors, Never-married, Sales, White, Male, United-States
38, Private,65000, Prof-school, Married-civ-spouse, Prof-specialty, White, Male, United-States
56, Self-emp-not-inc,336000, HS-grad, Married-civ-spouse, Other-service, White, Male, Canada
28, Private,378000, Some-college, Married-civ-spouse, Sales, White, Female, United-States
36, Private,103000, HS-grad, Never-married, Machine-op-inspct, White, Female, United-States
53, Private,96000, 9th, Married-civ-spouse, Handlers-cleaners, White, Male, United-States
56, Self-emp-inc,303000, Some-college, Married-civ-spouse, Sales, White, Male, United-States
49, Local-gov,197000, Assoc-voc, Married-civ-spouse, Craft-repair, Black, Male, United-States
55, Private,248000, Some-college, Married-civ-spouse, Sales, White, Male, United-States
22, Private,103000, HS-grad, Never-married, Craft-repair, White, Male, United-States
21, Private,200000, Some-college, Never-married, Other-service, White, Female, United-States
40, Private,119000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States
30, Private,77000, Bachelors, Never-married, Exec-managerial, Black, Male, Germany
29, State-gov,268000, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States
19, Private,302000, Some-college, Never-married, Other-service, Black, Male, United-States
47, Private,288000, Bachelors, Married-civ-spouse, Exec-managerial, White, Female, United-States
20, Private,112000, Some-college, Never-married, Adm-clerical, White, Female, United-States
31, Private,115000, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male, United-States
35, ?,129000, HS-grad, Married-civ-spouse, ?, White, Male, United-States
39, Private,366000, Some-college, Divorced, Craft-repair, White, Male, United-States
28, Private,70000, Assoc-acdm, Never-married, Sales, White, Female, United-States
24, Private,43000, HS-grad, Never-married, Other-service, White, Female, United-States
38, Self-emp-not-inc,121000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
37, Private,254000, Bachelors, Married-civ-spouse, Sales, White, Male, United-States
46, Private,146000, Assoc-acdm, Divorced, Tech-support, Black, Female, United-States
38, Federal-gov,126000, Masters, Married-civ-spouse, Prof-specialty, White, Male, Iran
43, Self-emp-not-inc,57000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
27, Private,163000, Assoc-voc, Married-civ-spouse, Adm-clerical, White, Female, United-States
20, Private,34000, Some-college, Never-married, Sales, White, Male, United-States
49, Private,82000, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, United-States
61, Self-emp-inc,67000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
27, Private,233000, Some-college, Never-married, Sales, White, Female, United-States
19, Private,317000, Some-college, Never-married, Other-service, White, Male, Mexico
45, Private,197000, Assoc-voc, Never-married, Prof-specialty, White, Female, United-States
70, Private,105000, Some-college, Never-married, Tech-support, White, Male, United-States
31, Private,186000, HS-grad, Never-married, Transport-moving, Black, Female, United-States
22, Private,175000, Some-college, Married-civ-spouse, Other-service, White, Male, United-States
36, Private,108000, HS-grad, Widowed, Other-service, White, Female, United-States
64, Private,181000, 11th, Married-civ-spouse, Craft-repair, White, Male, United-States
43, ?,175000, Some-college, Divorced, ?, White, Female, United-States
47, Local-gov,186000, Some-college, Divorced, Adm-clerical, White, Female, Mexico
34, Private,198000, HS-grad, Never-married, Adm-clerical, White, Female, United-States
33, Private,163000, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Female, Philippines
21, Private,296000, HS-grad, Never-married, Craft-repair, White, Male, United-States
52, ?,253000, HS-grad, Divorced, ?, White, Male, United-States
48, Private,188000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
23, Private,215000, Bachelors, Never-married, Handlers-cleaners, White, Male, United-States
71, Self-emp-not-inc,494000, Some-college, Separated, Sales, Black, Male, United-States
29, Private,192000, HS-grad, Divorced, Craft-repair, White, Male, United-States
42, Private,228000, Bachelors, Separated, Other-service, Black, Male, United-States
68, ?,38000, 1st-4th, Divorced, ?, White, Female, United-States
25, Private,253000, HS-grad, Never-married, Other-service, White, Female, United-States
44, Self-emp-inc,78000, Masters, Divorced, Exec-managerial, Asian-Pac-Islander, Female, United-States
28, Private,88000, HS-grad, Never-married, Exec-managerial, Asian-Pac-Islander, Female, England
45, Self-emp-not-inc,201000, Masters, Married-civ-spouse, Sales, White, Male, United-States
36, Private,207000, Some-college, Divorced, Other-service, White, Female, Mexico
39, Federal-gov,235000, Assoc-acdm, Never-married, Exec-managerial, White, Male, United-States
46, State-gov,103000, Masters, Widowed, Protective-serv, White, Male, United-States
18, Private,26000, 11th, Never-married, Handlers-cleaners, White, Male, United-States
66, Local-gov,55000, Assoc-voc, Widowed, Prof-specialty, White, Female, United-States
27, Private,125000, HS-grad, Never-married, Other-service, White, Male, United-States
28, State-gov,175000, HS-grad, Married-civ-spouse, Protective-serv, White, Male, United-States
51, Private,96000, Some-college, Married-civ-spouse, Sales, White, Male, United-States
27, Private,428000, Bachelors, Never-married, Craft-repair, White, Male, United-States
28, State-gov,150000, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States
27, Private,254000, HS-grad, Married-spouse-absent, Sales, White, Female, United-States
21, Private,313000, HS-grad, Never-married, Craft-repair, Black, Male, United-States
34, Private,484000, HS-grad, Never-married, Handlers-cleaners, Black, Male, United-States
18, Private,184000, HS-grad, Never-married, Other-service, White, Male, United-States
33, Private,37000, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States
44, Local-gov,181000, Some-college, Married-civ-spouse, Exec-managerial, Black, Male, United-States
43, Private,115000, Some-college, Divorced, Adm-clerical, White, Female, United-States
30, Private,634000, Some-college, Never-married, Craft-repair, Black, Male, United-States
40, Private,286000, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male, Mexico
37, Federal-gov,29000, Some-college, Married-civ-spouse, Adm-clerical, White, Male, United-States
34, Private,304000, HS-grad, Married-civ-spouse, Adm-clerical, Black, Male, United-States
41, Self-emp-not-inc,143000, Bachelors, Divorced, Exec-managerial, White, Female, United-States
53, ?,135000, Bachelors, Divorced, ?, White, Female, United-States
31, Private,100000, Masters, Married-civ-spouse, Prof-specialty, White, Female, United-States
58, State-gov,110000, Doctorate, Married-civ-spouse, Prof-specialty, White, Male, United-States
38, Private,155000, Some-college, Divorced, Machine-op-inspct, Black, Female, United-States
24, Private,160000, Some-college, Married-civ-spouse, Machine-op-inspct, White, Male, United-States
41, Local-gov,524000, Bachelors, Married-civ-spouse, Craft-repair, Black, Male, United-States
47, Private,121000, Some-college, Married-civ-spouse, Tech-support, White, Male, United-States
41, Federal-gov,131000, Bachelors, Married-civ-spouse, Tech-support, White, Male, United-States
23, Private,197000, 5th-6th, Married-civ-spouse, Transport-moving, White, Male, Mexico
36, Private,99000, Some-college, Divorced, Craft-repair, White, Male, United-States
40, Federal-gov,57000, Masters, Never-married, Exec-managerial, White, Female, United-States
35, Private,139000, Masters, Married-civ-spouse, Prof-specialty, White, Male, United-States
24, Self-emp-not-inc,33000, HS-grad, Never-married, Sales, White, Male, United-States
26, Private,397000, Masters, Never-married, Prof-specialty, White, Female, United-States
19, ?,171000, HS-grad, Never-married, ?, White, Male, Italy
51, Private,259000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States
42, Local-gov,255000, Some-college, Never-married, Prof-specialty, White, Female, United-States
37, State-gov,48000, HS-grad, Divorced, Adm-clerical, White, Female, United-States
18, Private,140000, 11th, Never-married, Sales, White, Female, United-States
36, Private,129000, Bachelors, Married-civ-spouse, Other-service, Black, Male, United-States
35, Private,36000, HS-grad, Divorced, Craft-repair, White, Male, United-States
58, Self-emp-inc,211000, HS-grad, Married-civ-spouse, Sales, White, Female, United-States
17, Private,65000, 11th, Never-married, Sales, White, Female, United-States
44, Local-gov,161000, HS-grad, Married-civ-spouse, Transport-moving, Black, Male, United-States
37, Private,208000, HS-grad, Married-civ-spouse, Craft-repair, White, Male, United-States
35, Private,154000, Some-college, Never-married, Sales, Amer-Indian-Eskimo, Female, United-States
60, Private,86000, HS-grad, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, United-States
54, Self-emp-inc,125000, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male, United-States
37, Private,636000, Bachelors, Never-married, Exec-managerial, Black, Male, United-States
50, Private,313000, Assoc-acdm, Divorced, Sales, White, Female, United-States
38, Private,183000, Bachelors, Married-civ-spouse, Sales, White, Male, Poland
45, Private,109000, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States
25, Private,255000, 10th, Never-married, Craft-repair, White, Male, United-States
31, Private,198000, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male, United-States
64, ?,188000, 1st-4th, Divorced, ?, White, Male, United-States
90, Private,52000, HS-grad, Never-married, Other-service, Black, Male, United-States
54, Private,177000, HS-grad, Married-civ-spouse, Adm-clerical, Black, Male, United-States
53, Local-gov,140000, Preschool, Never-married, Machine-op-inspct, White, Female, United-States
18, Private,243000, HS-grad, Never-married, Sales, White, Female, United-States
60, ?,24000, 10th, Divorced, ?, Amer-Indian-Eskimo, Female, United-States
66, Self-emp-not-inc,168000, HS-grad, Married-civ-spouse, Farming-fishing, White, Male, United-States
75, Private,314000, Assoc-voc, Widowed, Adm-clerical, White, Female, Columbia
65, Private,177000, HS-grad, Divorced, Adm-clerical, White, Female, United-States
35, Private,539000, 11th, Separated, Transport-moving, Black, Male, United-States
41, Private,130000, HS-grad, Divorced, Sales, Black, Female, United-States
25, Private,160000, Some-college, Never-married, Adm-clerical, White, Male, United-States
33, Private,111000, Some-college, Divorced, Craft-repair, Other, Female, United-States
28, Private,77000, Prof-school, Never-married, Prof-specialty, White, Male, United-States
59, State-gov,269000, HS-grad, Married-civ-spouse, Other-service, White, Male, United-States
40, State-gov,171000, Some-college, Never-married, Adm-clerical, White, Female, United-States
41, Private,180000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, Iran
38, Local-gov,115000, Masters, Married-civ-spouse, Exec-managerial, White, Male, United-States
23, Private,115000, HS-grad, Never-married, Transport-moving, White, Male, United-States
40, Private,348000, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States
41, Self-emp-not-inc,196000, HS-grad, Married-civ-spouse, Other-service, White, Female, United-States
24, State-gov,274000, Assoc-acdm, Married-civ-spouse, Protective-serv, White, Male, United-States
20, ?,119000, Some-college, Never-married, ?, White, Male, United-States
38, Private,179000, Some-college, Divorced, Craft-repair, White, Male, United-States
56, Private,204000, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, ?
58, Private,237000, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, United-States
32, Private,184000, HS-grad, Never-married, Other-service, White, Female, United-States
40, Private,208000, Assoc-acdm, Married-civ-spouse, Tech-support, White, Male, United-States
45, Private,153000, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, ?
41, Private,113000, Prof-school, Married-civ-spouse, Prof-specialty, White, Female, United-States
42, Private,391000, Bachelors, Married-civ-spouse, Adm-clerical, Black, Female, United-States
59, Local-gov,171000, 10th, Widowed, Other-service, Black, Female, United-States
19, Local-gov,27000, Some-college, Never-married, Adm-clerical, White, Male, United-States
58, Private,259000, Some-college, Never-married, Transport-moving, White, Male, United-States
42, Self-emp-not-inc,303000, HS-grad, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Male, Cambodia
20, Private,118000, HS-grad, Never-married, Other-service, White, Female, United-States
32, Private,173000, HS-grad, Separated, Other-service, White, Female, United-States
45, Private,188000, Assoc-voc, Widowed, Exec-managerial, White, Female, United-States
50, Private,205000, 7th-8th, Divorced, Craft-repair, White, Male, United-States
36, Private,150000, Bachelors, Divorced, Prof-specialty, White, Female, United-States
45, Private,98000, HS-grad, Married-civ-spouse, Sales, White, Male, United-States
17, Private,246000, 11th, Never-married, Other-service, White, Male, United-States
59, Private,146000, Some-college, Married-civ-spouse, Sales, White, Male, United-States
26, Private,378000, 11th, Married-civ-spouse, Craft-repair, White, Male, United-States
37, Self-emp-inc,257000, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, Thailand
19, ?,219000, Some-college, Never-married, ?, White, Male, Canada
64, Private,21000, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, United-States
33, Private,185000, Bachelors, Never-married, Prof-specialty, White, Female, United-States
33, Private,222000, HS-grad, Married-civ-spouse, Craft-repair, White, Female, United-States
61, Private,70000, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, United-States
17, Private,191000, 9th, Never-married, Other-service, White, Male, United-States
50, Self-emp-not-inc,31000, Masters, Married-civ-spouse, Farming-fishing, White, Male, United-States
27, Local-gov,209000, Masters, Never-married, Prof-specialty, White, Male, United-States
30, Private,70000, HS-grad, Divorced, Prof-specialty, White, Female, United-States
43, Private,478000, HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Male, United-States
44, Private,171000, Some-college, Married-civ-spouse, Craft-repair, White, Male, United-States
35, Private,190000, Some-college, Never-married, Exec-managerial, White, Female, United-States
25, Private,194000, Some-college, Never-married, Tech-support, White, Female, United-States
24, Private,279000, Some-college, Married-civ-spouse, Machine-op-inspct, White, Female, United-States
22, Private,35000, Bachelors, Never-married, Prof-specialty, White, Female, Germany
42, Local-gov,98000, Some-college, Married-civ-spouse, Craft-repair, White, Male, United-States
34, Private,175000, Assoc-acdm, Divorced, Sales, Black, Female, United-States
60, Private,174000, Bachelors, Divorced, Prof-specialty, White, Female, United-States
21, Private,206000, HS-grad, Never-married, Handlers-cleaners, White, Male, United-States
57, Federal-gov,425000, Masters, Married-civ-spouse, Sales, White, Male, United-States
41, Private,221000, Prof-school, Married-civ-spouse, Prof-specialty, White, Male, United-States
50, Private,177000, Some-college, Divorced, Other-service, White, Male, United-States
25, Private,372000, Bachelors, Never-married, Exec-managerial, White, Female, United-States
50, Private,194000, 7th-8th, Married-civ-spouse, Craft-repair, White, Male, Ecuador
36, Private,200000, Bachelors, Married-civ-spouse, Prof-specialty, White, Male, United-States
31, Private,128000, HS-grad, Divorced, Prof-specialty, White, Female, United-States
29, Local-gov,220000, Bachelors, Never-married, Protective-serv, White, Male, United-States
21, Private,232000, Some-college, Never-married, Sales, White, Male, United-States
27, Private,248000, Bachelors, Never-married, Tech-support, Black, Female, United-States
65, Private,111000, HS-grad, Married-civ-spouse, Transport-moving, White, Male, United-States
37, Self-emp-inc,57000, Bachelors, Divorced, Sales, White, Female, United-States
39, ?,157000, Masters, Married-civ-spouse, ?, Asian-Pac-Islander, Female, ?
24, Private,278000, HS-grad, Never-married, Craft-repair, White, Male, United-States
38, Private,169000, HS-grad, Divorced, Sales, White, Male, United-States
48, Private,146000, Bachelors, Married-civ-spouse, Adm-clerical, White, Male, United-States
21, Private,154000, Some-college, Never-married, Other-service, Asian-Pac-Islander, Female, United-States
31, Private,217000, HS-grad, Married-civ-spouse, Transport-moving, White, Male, United-States
55, Private,239000, HS-grad, Married-civ-spouse, Sales, White, Male, United-States
24, Private,303000, Some-college, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female, Laos
43, Private,173000, HS-grad, Divorced, Adm-clerical, White, Female, United-States
26, Private,194000, Assoc-acdm, Never-married, Tech-support, White, Male, United-States
46, Private,83000, Assoc-acdm, Never-married, Prof-specialty, White, Female, United-States
35, Private,194000, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male, United-States
41, Self-emp-inc,35000, Some-college, Married-civ-spouse, Farming-fishing, White, Male, United-States
26, Private,59000, Bachelors, Never-married, Sales, White, Male, United-States
34, Private,143000, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, Taiwan
19, ?,860000, Some-college, Never-married, ?, Black, Female, United-States
36, Self-emp-not-inc,206000, Bachelors, Divorced, Prof-specialty, Black, Female, United-States
22, Private,200000, Some-college, Never-married, Sales, White, Male, United-States
24, Private,192000, Some-college, Never-married, Machine-op-inspct, White, Male, United-States
77, Self-emp-not-inc,139000, Some-college, Married-civ-spouse, Sales, White, Male, United-States
22, Private,399000, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Female, Mexico
29, Private,423000, Some-college, Never-married, Tech-support, White, Female, United-States
62, Private,160000, HS-grad, Widowed, Other-service, White, Female, United-States
39, Self-emp-not-inc,174000, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, United-States
43, Private,50000, Some-college, Married-civ-spouse, Craft-repair, White, Male, United-States
35, Private,186000, HS-grad, Divorced, Transport-moving, White, Male, United-States
29, Private,200000, 11th, Never-married, Exec-managerial, White, Female, United-States
76, Self-emp-not-inc,174000, Masters, Married-civ-spouse, Craft-repair, White, Male, United-States
63, Self-emp-not-inc,78000, HS-grad, Married-civ-spouse, Farming-fishing, White, Male, United-States
23, ?,212000, Assoc-voc, Never-married, ?, Black, Female, United-States
43, Private,188000, Some-college, Married-civ-spouse, Prof-specialty, White, Female, United-States
58, Self-emp-not-inc,321000, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male, United-States
66, Private,128000, HS-grad, Never-married, Transport-moving, White, Male, United-States
41, Private,207000, Some-college, Never-married, Craft-repair, Black, Male, United-States
26, Private,225000, Bachelors, Never-married, Adm-clerical, White, Male, United-States
47, Private,179000, Assoc-voc, Never-married, Other-service, White, Male, United-States
55, Local-gov,99000, 10th, Married-civ-spouse, Adm-clerical, White, Male, United-States
53, Private,243000, HS-grad, Married-civ-spouse, Transport-moving, White, Male, United-States
17, Private,271000, 5th-6th, Never-married, Other-service, White, Male, Mexico
30, Private,94000, HS-grad, Never-married, Craft-repair, White, Male, United-States
49, Private,71000, Masters, Never-married, Prof-specialty, White, Male, United-States
19, Private,104000, HS-grad, Never-married, Sales, Black, Male, Haiti
45, Private,261000, HS-grad, Married-civ-spouse, Other-service, Black, Male, United-States
26, Private,95000, Assoc-acdm, Never-married, Sales, White, Male, United-States
38, Private,296000, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male, United-States
36, State-gov,119000, HS-grad, Married-civ-spouse, Protective-serv, White, Male, United-States
33, Private,85000, HS-grad, Never-married, Farming-fishing, White, Male, United-States
22, State-gov,293000, Some-college, Never-married, Protective-serv, Black, Female, United-States
43, Self-emp-not-inc,242000, Bachelors, Never-married, Sales, White, Male, United-States
67, ?,36000, 11th, Married-civ-spouse, ?, White, Male, United-States
30, ?,152000, Assoc-voc, Divorced, ?, White, Female, United-States
56, Private,101000, Assoc-acdm, Married-spouse-absent, Other-service, White, Male, Iran
31, Private,156000, Bachelors, Never-married, Prof-specialty, White, Male, United-States
33, Private,118000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States
26, Private,192000, HS-grad, Married-civ-spouse, Other-service, White, Male, United-States
33, Private,111000, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, United-States
46, Local-gov,330000, 11th, Married-civ-spouse, Transport-moving, White, Male, United-States
59, ?,372000, Bachelors, Married-civ-spouse, ?, White, Male, United-States
38, Federal-gov,95000, HS-grad, Married-civ-spouse, Adm-clerical, White, Male, United-States
65, Private,161000, 11th, Widowed, Other-service, Other, Male, United-States
40, Private,96000, Assoc-voc, Married-civ-spouse, Tech-support, White, Male, United-States
