IS_TENT,GENDER,AGE,MARITAL_STATUS,PROFESSION
False,M,43,Single,Other
False,M,43,Single,Other
False,M,43,Single,Other
True,M,19,Single,Other
False,M,19,Single,Other
True,M,28,Single,Sales
False,M,28,Single,Sales
True,M,27,Single,Sales
False,F,38,Married,Other
False,F,38,Married,Other
False,M,37,Married,Trades
False,F,34,Married,Other
False,F,34,Married,Other
False,F,46,Married,Executive
False,F,46,Married,Executive
False,M,41,Married,Other
False,M,41,Married,Other
False,M,44,Single,Professional
False,F,38,Single,Retail
True,F,31,Married,Hospitality
False,F,31,Married,Hospitality
False,F,27,Married,Retail
False,F,27,Married,Retail
False,F,45,Married,Other
False,M,24,Single,Student
False,M,24,Single,Student
False,M,39,Married,Other
False,M,39,Married,Other
False,F,28,Single,Student
False,F,28,Single,Student
False,M,32,Single,Other
False,M,32,Single,Other
False,M,32,Single,Other
False,F,52,Unspecified,Hospitality
False,M,37,Unspecified,Trades
False,M,29,Single,Professional
False,M,41,Married,Professional
False,F,34,Single,Retail
False,F,50,Married,Other
False,F,50,Married,Other
True,M,27,Single,Trades
False,F,27,Single,Other
False,M,19,Single,Professional
False,F,23,Married,Other
False,F,23,Married,Other
False,M,36,Married,Sales
False,F,27,Single,Other
False,F,23,Single,Hospitality
False,M,27,Married,Other
False,M,41,Married,Executive
False,F,28,Single,Other
False,F,31,Married,Professional
False,M,32,Married,Executive
False,M,32,Married,Executive
False,F,64,Married,Other
False,F,27,Single,Student
False,F,29,Married,Other
False,M,36,Married,Executive
False,M,35,Married,Executive
False,M,35,Married,Executive
False,M,35,Married,Executive
False,M,35,Married,Executive
False,M,35,Married,Executive
False,M,35,Married,Executive
False,F,48,Married,Retail
False,F,48,Married,Retail
True,M,34,Married,Other
True,M,34,Married,Other
True,M,22,Single,Sales
True,M,28,Single,Professional
False,F,35,Single,Professional
False,F,38,Married,Executive
False,M,39,Single,Other
False,F,24,Single,Student
False,F,31,Single,Other
False,M,42,Married,Other
False,M,42,Married,Other
False,F,23,Single,Hospitality
False,F,36,Married,Other
False,F,36,Married,Other
False,F,22,Single,Student
False,F,26,Single,Sales
False,M,31,Single,Trades
False,M,31,Single,Trades
False,F,31,Married,Other
False,F,49,Married,Professional
False,F,22,Single,Retail
False,M,37,Married,Other
False,M,25,Single,Other
False,M,37,Married,Trades
False,M,37,Married,Trades
False,M,43,Married,Sales
True,M,43,Married,Sales
False,M,43,Married,Sales
False,M,43,Single,Other
False,M,43,Single,Other
False,M,43,Single,Other
False,M,43,Single,Other
False,F,35,Married,Professional
False,F,35,Married,Professional
False,F,49,Married,Other
False,F,49,Married,Other
False,F,35,Unspecified,Hospitality
False,F,35,Unspecified,Hospitality
False,F,35,Unspecified,Hospitality
False,F,35,Unspecified,Hospitality
False,M,28,Single,Professional
False,M,35,Married,Other
False,M,26,Married,Executive
False,M,44,Married,Other
False,M,28,Married,Other
False,M,28,Married,Other
True,F,38,Married,Executive
False,M,22,Single,Professional
False,M,22,Single,Professional
False,M,24,Single,Retail
False,M,24,Single,Retail
False,M,24,Single,Retail
True,F,41,Unspecified,Hospitality
False,F,41,Unspecified,Hospitality
False,F,29,Single,Other
False,F,65,Unspecified,Hospitality
False,M,42,Married,Sales
False,F,40,Married,Sales
False,M,37,Unspecified,Trades
False,M,37,Unspecified,Trades
False,M,37,Unspecified,Trades
False,F,32,Married,Executive
False,F,21,Single,Hospitality
False,F,21,Single,Hospitality
False,M,43,Married,Sales
False,F,67,Married,Other
False,M,40,Married,Other
True,M,40,Married,Other
False,M,19,Single,Student
False,M,19,Single,Student
True,M,19,Single,Student
False,F,39,Married,Other
False,M,50,Unspecified,Other
False,M,50,Unspecified,Other
True,M,29,Single,Trades
False,M,29,Single,Trades
False,F,48,Unspecified,Hospitality
False,F,22,Single,Retail
False,F,37,Married,Other
True,M,23,Single,Executive
False,M,23,Single,Executive
False,F,37,Married,Professional
False,F,32,Married,Executive
False,F,32,Married,Executive
False,F,19,Single,Other
False,F,26,Single,Other
False,M,39,Married,Other
False,F,37,Married,Other
False,F,37,Married,Other
False,F,20,Married,Retail
False,F,51,Married,Other
False,F,24,Single,Professional
True,M,38,Single,Professional
False,M,38,Single,Professional
False,M,38,Single,Professional
True,M,38,Married,Trades
False,M,36,Married,Trades
False,M,36,Married,Trades
False,F,44,Married,Executive
False,F,20,Single,Other
False,M,31,Single,Professional
False,M,31,Single,Professional
False,F,46,Married,Hospitality
False,F,46,Married,Hospitality
False,M,32,Single,Other
False,M,28,Single,Trades
False,M,28,Single,Trades
False,M,28,Single,Trades
False,F,37,Married,Other
False,F,37,Married,Other
False,F,37,Married,Other
False,M,33,Single,Other
False,F,29,Single,Retail
False,M,35,Married,Other
False,M,35,Married,Other
False,F,28,Single,Professional
False,M,32,Married,Professional
False,M,31,Single,Other
False,M,31,Single,Other
False,F,22,Single,Professional
True,M,26,Single,Sales
True,M,44,Married,Trades
False,M,30,Married,Professional
False,F,28,Single,Retail
False,F,28,Married,Executive
True,M,29,Single,Other
False,M,29,Single,Other
False,M,35,Married,Sales
False,M,40,Married,Other
False,M,40,Married,Other
False,M,21,Single,Student
True,M,29,Single,Professional
False,M,40,Married,Other
False,M,46,Married,Professional
False,M,46,Married,Professional
False,M,46,Married,Professional
False,M,31,Unspecified,Professional
True,M,22,Single,Sales
False,M,22,Single,Sales
False,F,35,Married,Professional
False,F,32,Married,Executive
True,M,39,Married,Other
False,M,39,Married,Other
True,M,19,Single,Sales
False,F,26,Single,Other
False,M,42,Married,Other
True,M,42,Married,Other
False,F,41,Married,Other
False,F,41,Married,Other
True,M,24,Single,Other
False,F,48,Married,Other
False,M,41,Married,Professional
False,M,41,Married,Professional
False,F,46,Married,Other
False,F,39,Married,Other
False,F,20,Single,Other
True,F,19,Single,Other
False,F,42,Married,Sales
False,F,32,Married,Professional
False,F,21,Single,Other
False,M,25,Single,Other
False,M,25,Single,Other
False,F,48,Married,Professional
True,M,30,Single,Other
False,M,30,Single,Other
False,M,27,Single,Professional
False,M,49,Married,Professional
False,M,49,Married,Professional
False,M,49,Married,Professional
False,M,40,Married,Other
False,F,38,Unspecified,Hospitality
False,F,38,Unspecified,Hospitality
False,M,55,Unspecified,Other
False,M,55,Unspecified,Other
True,M,21,Single,Sales
False,M,21,Single,Sales
False,F,57,Married,Other
False,F,57,Married,Other
False,F,57,Married,Other
False,F,24,Single,Sales
False,F,34,Married,Executive
False,F,34,Married,Executive
False,F,34,Married,Executive
False,M,34,Married,Executive
True,M,34,Married,Executive
False,F,28,Single,Sales
True,M,29,Single,Sales
True,F,21,Married,Retail
False,F,21,Married,Retail
False,F,21,Married,Retail
False,F,39,Married,Other
False,F,39,Married,Other
False,F,39,Married,Other
False,F,39,Married,Other
False,M,34,Single,Trades
False,M,34,Single,Trades
False,M,34,Married,Other
False,F,34,Married,Executive
False,F,26,Married,Other
False,F,26,Married,Other
False,F,37,Single,Other
False,F,29,Single,Other
False,M,19,Single,Professional
False,M,41,Married,Other
False,M,41,Married,Other
False,M,41,Married,Other
False,F,27,Single,Professional
True,M,33,Single,Trades
False,F,38,Single,Other
False,F,44,Married,Other
False,F,40,Married,Other
False,F,40,Married,Other
False,F,40,Married,Other
False,F,40,Married,Other
False,M,31,Married,Trades
False,M,32,Married,Executive
False,M,35,Married,Other
False,M,35,Married,Other
False,F,18,Single,Professional
False,M,40,Married,Other
False,M,40,Married,Other
False,M,40,Married,Other
False,M,57,Married,Trades
False,M,57,Married,Trades
False,M,20,Single,Other
False,F,27,Single,Other
False,F,51,Married,Other
False,F,33,Single,Professional
False,F,21,Single,Professional
False,M,25,Single,Other
True,F,32,Married,Other
False,F,32,Married,Other
False,F,32,Married,Other
False,F,22,Married,Other
False,F,26,Single,Other
False,M,22,Single,Sales
False,M,22,Single,Sales
False,M,25,Single,Student
False,M,25,Single,Student
False,M,25,Single,Student
False,F,26,Married,Other
False,F,26,Married,Other
False,F,62,Married,Other
True,M,21,Single,Trades
False,M,21,Single,Trades
False,F,31,Married,Hospitality
False,F,31,Married,Hospitality
False,M,19,Single,Professional
False,M,19,Single,Professional
False,F,25,Single,Other
False,F,25,Single,Other
False,F,35,Single,Professional
True,M,28,Single,Sales
False,M,28,Single,Sales
True,M,24,Single,Other
False,F,37,Married,Other
False,M,36,Married,Professional
False,M,36,Married,Professional
False,M,36,Married,Professional
True,M,40,Married,Other
False,M,40,Married,Other
False,M,37,Married,Other
False,F,67,Married,Other
False,M,24,Single,Other
False,M,24,Single,Other
False,F,23,Single,Other
False,M,34,Married,Sales
False,M,19,Single,Other
False,F,37,Single,Retail
False,F,20,Single,Other
False,F,38,Married,Professional
False,F,25,Single,Other
False,F,27,Single,Professional
True,M,33,Married,Other
True,M,33,Married,Other
False,M,33,Married,Other
False,F,20,Single,Other
False,M,31,Single,Other
False,M,42,Married,Other
False,M,21,Single,Student
False,M,48,Unspecified,Other
False,M,48,Unspecified,Other
False,M,48,Unspecified,Other
False,F,49,Married,Other
False,F,49,Married,Hospitality
False,F,38,Married,Executive
False,F,38,Married,Executive
True,M,31,Single,Professional
False,F,24,Single,Other
False,F,24,Single,Other
False,F,24,Single,Other
False,F,24,Single,Other
True,M,25,Single,Other
False,M,25,Single,Other
False,M,19,Single,Student
False,M,30,Married,Other
False,M,30,Married,Other
False,M,44,Single,Other
False,F,26,Single,Other
False,F,36,Married,Other
False,M,42,Single,Other
False,M,42,Single,Other
False,F,38,Married,Executive
False,M,39,Married,Sales
False,F,45,Married,Hospitality
True,F,20,Single,Other
True,F,33,Married,Other
False,F,47,Married,Retired
False,F,34,Married,Retail
False,M,40,Married,Trades
False,F,25,Married,Professional
False,F,25,Single,Professional
True,M,19,Single,Professional
False,M,19,Single,Professional
True,M,27,Married,Professional
False,F,47,Unspecified,Hospitality
False,M,40,Married,Trades
False,M,40,Married,Trades
False,M,40,Married,Trades
False,M,29,Married,Professional
False,F,19,Single,Student
False,M,34,Single,Professional
False,M,34,Single,Professional
True,F,46,Married,Executive
False,F,46,Married,Executive
False,F,52,Married,Other
False,M,38,Married,Executive
False,M,38,Married,Executive
False,M,43,Single,Sales
False,F,30,Married,Hospitality
False,F,31,Married,Other
False,F,31,Married,Other
False,F,31,Married,Other
False,M,24,Single,Professional
False,F,29,Single,Hospitality
False,F,39,Unspecified,Other
False,F,39,Unspecified,Other
False,F,39,Unspecified,Other
False,F,62,Married,Other
False,F,29,Single,Professional
False,F,51,Married,Other
False,F,52,Married,Other
False,F,52,Married,Other
False,F,46,Married,Other
False,F,46,Married,Other
True,M,22,Single,Professional
False,F,52,Married,Other
True,M,23,Single,Professional
False,M,29,Single,Trades
False,M,40,Married,Sales
False,M,37,Married,Sales
False,M,37,Married,Sales
False,M,40,Married,Sales
False,M,56,Married,Other
False,M,27,Single,Professional
False,M,27,Single,Professional
False,F,52,Married,Other
False,F,27,Single,Professional
False,M,20,Single,Trades
False,M,44,Married,Trades
False,M,44,Married,Trades
False,M,40,Married,Trades
True,M,38,Married,Sales
False,M,19,Single,Sales
False,M,19,Single,Sales
False,M,24,Single,Student
False,F,48,Married,Other
False,F,27,Single,Student
False,F,27,Single,Student
False,F,27,Single,Student
False,F,27,Single,Student
False,F,39,Single,Other
False,M,33,Married,Professional
False,M,33,Married,Professional
False,F,27,Married,Sales
False,M,26,Married,Other
False,M,33,Married,Other
True,M,34,Married,Sales
False,M,39,Married,Sales
False,F,42,Married,Other
False,M,28,Single,Professional
False,M,23,Single,Student
True,F,41,Married,Executive
False,F,41,Married,Executive
False,F,46,Married,Other
False,F,66,Unspecified,Hospitality
False,F,66,Unspecified,Hospitality
False,M,43,Married,Other
False,M,43,Married,Other
False,F,37,Married,Executive
False,M,43,Married,Other
False,M,21,Single,Student
False,M,42,Married,Other
True,M,27,Single,Trades
True,M,20,Single,Other
False,M,20,Single,Other
True,M,28,Single,Professional
False,M,31,Married,Trades
False,M,26,Single,Other
False,M,23,Single,Sales
False,F,35,Married,Other
False,F,35,Married,Other
False,M,58,Married,Other
False,F,49,Married,Other
False,F,41,Married,Retired
False,F,63,Married,Retired
False,F,38,Married,Other
False,F,30,Married,Hospitality
True,F,27,Single,Other
False,F,27,Single,Other
False,M,33,Married,Sales
False,M,33,Married,Sales
False,M,44,Married,Other
True,M,24,Single,Other
False,M,24,Single,Other
False,F,44,Married,Other
False,F,44,Married,Other
False,F,35,Married,Executive
True,M,24,Single,Other
False,M,24,Single,Other
True,M,44,Married,Trades
True,M,44,Married,Trades
False,M,44,Married,Trades
True,F,25,Single,Other
True,F,25,Single,Other
False,F,25,Single,Other
False,F,25,Single,Other
False,M,41,Single,Sales
False,M,41,Single,Sales
False,M,41,Single,Sales
False,M,41,Single,Sales
False,M,41,Single,Sales
False,M,41,Single,Sales
False,M,40,Married,Professional
False,F,39,Married,Executive
False,M,40,Married,Executive
False,M,40,Married,Executive
True,F,43,Married,Other
False,F,43,Married,Other
False,M,40,Married,Professional
False,M,24,Single,Student
False,M,39,Single,Executive
False,F,29,Single,Professional
False,F,29,Single,Professional
False,F,26,Single,Student
False,M,27,Single,Trades
False,M,27,Single,Trades
False,M,27,Single,Trades
True,M,22,Single,Trades
False,F,37,Married,Executive
False,M,33,Married,Executive
False,F,25,Single,Retail
False,M,33,Married,Executive
False,M,43,Married,Executive
False,M,42,Married,Executive
False,M,25,Married,Other
False,M,25,Married,Other
True,M,24,Single,Trades
False,M,24,Single,Trades
False,F,38,Married,Executive
False,F,28,Single,Professional
False,F,37,Single,Other
False,M,36,Single,Executive
False,M,36,Single,Executive
False,F,29,Single,Retail
False,F,29,Single,Retail
False,F,38,Married,Sales
False,M,31,Married,Other
False,M,34,Married,Other
False,F,47,Married,Other
False,F,47,Married,Other
False,F,26,Married,Retail
False,F,47,Married,Professional
False,M,41,Married,Professional
False,F,44,Married,Other
False,F,31,Married,Other
False,F,31,Married,Other
False,F,23,Single,Student
False,F,42,Unspecified,Hospitality
False,F,44,Unspecified,Hospitality
False,F,44,Unspecified,Hospitality
False,M,46,Married,Professional
False,M,46,Married,Professional
False,M,58,Married,Professional
False,M,58,Married,Professional
True,M,28,Single,Other
False,F,42,Married,Other
False,F,42,Married,Other
False,M,41,Married,Other
False,M,41,Married,Other
False,F,27,Single,Professional
False,F,65,Married,Retired
False,F,37,Single,Other
True,M,30,Married,Other
False,F,37,Married,Professional
False,F,37,Married,Professional
False,F,28,Single,Professional
True,M,20,Single,Trades
False,M,20,Single,Trades
False,M,55,Married,Other
False,M,55,Married,Other
False,M,55,Married,Other
False,M,40,Married,Executive
True,M,22,Single,Other
False,F,25,Married,Other
False,M,43,Married,Other
False,F,24,Single,Other
False,M,41,Single,Other
False,M,41,Single,Other
False,F,36,Married,Other
False,F,36,Married,Other
False,M,24,Single,Retail
False,M,24,Single,Retail
False,M,24,Single,Retail
True,M,21,Single,Sales
False,M,21,Single,Sales
False,M,41,Married,Trades
False,F,26,Single,Student
False,M,49,Married,Retired
False,M,49,Married,Retired
False,M,33,Married,Other
False,M,33,Married,Other
False,M,58,Married,Trades
False,M,58,Married,Trades
False,M,36,Married,Professional
False,M,48,Married,Trades
False,M,48,Married,Trades
False,F,19,Single,Other
False,F,25,Single,Other
False,M,55,Unspecified,Other
False,M,55,Unspecified,Other
False,M,55,Unspecified,Other
False,F,43,Unspecified,Hospitality
False,M,20,Single,Sales
False,F,41,Married,Professional
False,M,21,Single,Other
False,M,46,Married,Trades
False,F,32,Married,Other
False,M,26,Single,Other
False,F,20,Single,Other
False,F,19,Single,Hospitality
False,F,19,Single,Hospitality
True,F,19,Single,Hospitality
False,F,19,Single,Hospitality
False,M,59,Married,Other
False,M,45,Unspecified,Trades
False,F,45,Married,Executive
True,M,40,Married,Executive
False,M,40,Married,Executive
True,M,41,Married,Executive
False,M,41,Married,Executive
False,F,30,Married,Professional
False,F,30,Married,Professional
False,F,26,Married,Sales
False,F,26,Married,Sales
False,M,26,Single,Trades
True,M,29,Single,Other
False,F,34,Single,Professional
False,F,20,Single,Professional
False,F,30,Married,Executive
False,F,30,Married,Executive
True,M,30,Married,Other
False,F,25,Single,Professional
False,F,25,Single,Professional
False,F,25,Single,Professional
False,F,45,Married,Hospitality
False,F,45,Married,Hospitality
False,F,45,Married,Hospitality
False,M,37,Married,Executive
False,M,37,Married,Executive
True,M,37,Married,Executive
False,M,37,Married,Executive
False,F,38,Married,Other
False,F,28,Married,Executive
False,F,35,Single,Other
False,F,61,Married,Other
False,F,61,Married,Other
True,M,20,Single,Other
False,M,20,Single,Other
False,F,29,Single,Professional
False,F,22,Single,Other
False,F,37,Single,Other
True,M,24,Single,Executive
False,M,24,Single,Executive
False,M,26,Married,Sales
False,M,27,Single,Other
False,F,43,Married,Professional
False,F,59,Married,Other
False,F,41,Married,Professional
False,F,41,Married,Professional
False,F,30,Married,Other
True,F,30,Married,Other
False,F,30,Married,Other
False,F,30,Married,Other
True,M,30,Married,Other
True,M,25,Single,Professional
False,M,25,Single,Professional
False,M,42,Married,Sales
False,F,45,Married,Professional
False,F,38,Unspecified,Hospitality
False,F,34,Married,Other
True,M,20,Single,Trades
False,M,20,Single,Trades
False,F,33,Single,Other
False,F,31,Married,Executive
False,F,31,Married,Executive
False,M,28,Single,Trades
False,M,35,Married,Trades
False,M,35,Married,Trades
False,M,40,Married,Other
False,M,40,Married,Other
False,M,26,Married,Other
False,M,25,Married,Other
False,F,33,Married,Other
False,F,43,Married,Professional
False,M,31,Single,Other
False,M,37,Single,Professional
False,M,29,Single,Retail
False,M,19,Single,Retail
False,F,59,Married,Other
False,M,40,Married,Sales
False,M,40,Married,Sales
False,M,36,Married,Other
False,F,44,Unspecified,Hospitality
False,M,37,Married,Other
False,M,30,Married,Other
False,M,47,Married,Professional
False,M,21,Single,Student
False,M,21,Single,Student
False,M,21,Single,Student
False,F,47,Unspecified,Hospitality
False,F,24,Unspecified,Other
True,F,44,Married,Retired
False,F,44,Married,Retired
False,M,35,Married,Executive
False,M,58,Married,Other
False,M,39,Single,Professional
False,M,39,Single,Professional
False,M,39,Single,Professional
False,M,39,Single,Professional
False,F,39,Married,Other
True,M,32,Single,Student
False,M,32,Single,Student
False,M,32,Single,Student
False,F,27,Single,Professional
False,F,25,Married,Sales
False,F,25,Single,Professional
False,F,31,Married,Other
False,M,28,Single,Trades
False,M,28,Single,Trades
False,F,36,Unspecified,Hospitality
True,M,34,Single,Student
True,M,29,Single,Professional
False,M,29,Single,Professional
False,F,44,Married,Other
False,F,44,Married,Other
False,M,26,Married,Executive
False,M,36,Married,Professional
False,M,36,Married,Professional
False,M,36,Married,Professional
False,F,26,Single,Professional
False,F,26,Single,Professional
False,F,37,Married,Executive
False,M,40,Married,Executive
False,M,40,Married,Executive
False,M,40,Married,Executive
False,M,34,Married,Executive
False,M,32,Married,Trades
False,M,32,Married,Trades
False,F,28,Unspecified,Professional
False,F,28,Unspecified,Professional
False,F,28,Unspecified,Professional
False,F,28,Unspecified,Professional
False,F,45,Married,Hospitality
False,F,45,Married,Hospitality
False,F,45,Married,Hospitality
False,F,45,Married,Hospitality
False,M,20,Single,Student
False,M,20,Single,Student
False,M,20,Single,Student
False,M,20,Single,Student
False,M,42,Married,Trades
False,F,34,Married,Executive
True,M,28,Single,Other
False,M,28,Single,Other
False,M,25,Single,Sales
True,M,19,Single,Trades
False,M,19,Single,Trades
False,F,38,Married,Executive
True,M,19,Single,Professional
False,M,19,Single,Professional
False,M,19,Single,Professional
False,M,30,Single,Trades
False,M,30,Single,Trades
False,M,30,Single,Trades
False,F,39,Single,Professional
True,F,32,Married,Other
False,F,32,Married,Other
False,M,39,Married,Executive
True,F,49,Married,Other
False,F,41,Married,Executive
True,M,31,Single,Other
False,M,31,Single,Other
False,M,34,Unspecified,Sales
False,M,34,Unspecified,Sales
False,M,30,Married,Trades
False,M,18,Single,Student
False,M,30,Married,Other
False,M,30,Married,Other
False,M,37,Married,Professional
False,F,31,Single,Other
False,M,20,Single,Student
False,M,35,Married,Executive
False,M,35,Married,Executive
False,M,35,Married,Executive
False,M,35,Married,Executive
False,M,31,Married,Other
False,M,31,Married,Other
False,M,31,Married,Other
False,M,31,Married,Other
False,M,40,Single,Other
False,M,19,Single,Professional
False,M,19,Single,Professional
False,F,23,Married,Retail
False,F,23,Married,Retail
False,F,21,Single,Other
False,M,37,Single,Other
False,M,42,Married,Trades
False,M,42,Married,Trades
False,F,38,Married,Other
False,M,27,Single,Trades
True,M,27,Single,Trades
False,M,35,Married,Other
False,M,35,Married,Other
False,F,34,Married,Other
False,F,29,Single,Other
False,F,29,Single,Other
False,F,43,Married,Other
False,F,43,Married,Other
False,M,37,Married,Sales
False,M,37,Married,Sales
False,F,49,Married,Other
False,F,26,Single,Professional
False,M,28,Single,Sales
False,M,28,Single,Sales
False,F,27,Married,Executive
False,F,41,Married,Executive
True,M,27,Single,Sales
False,F,33,Single,Retail
False,F,33,Single,Retail
False,F,33,Single,Retail
False,F,33,Single,Retail
False,F,33,Single,Retail
False,F,43,Married,Other
False,F,29,Married,Sales
False,M,45,Married,Retired
False,M,45,Married,Retired
False,F,32,Single,Other
False,F,39,Married,Other
False,M,28,Married,Professional
False,M,26,Married,Other
False,M,26,Married,Other
False,M,26,Married,Other
False,F,45,Married,Other
False,F,45,Married,Other
True,F,41,Married,Other
False,F,41,Married,Other
False,F,27,Married,Other
False,M,33,Married,Executive
False,M,33,Married,Executive
