Respondent ID,Age,Gender,Married,Years_Working,Firm_type,Work_Area,job_title,sensitive_supervisor,supervisor_devotes_time,supervisor_communication,supervisor_inline_with_personal_goals,supervisor_speaks_openly,problem_solve_intensively,Supervisor Communication 1,Supervisor Communication 2,e-working_takes_up_personal_time,e-work_consumes_personal_life,e_work_life_balance,constant_access_tiring,cant_put_down_work,e-work_higher_demands,e-work_poor_social_life,Work Life Interference,Work Life Interference Optimized,e-work_better_concentration,e-work_makes_more_effective,interrupted_but_meet_expectations,e-work_job_productivity_increase,Effectiveness/Productivity,Effectiveness/Productivity Optimized,training_for_online_provided,trust_organization_for_e-work_facilities,organization_trusts_e-work,Organizational Trust,Organizational Trust Optmized,flexible_e-work,e-work_allows_me_to_meet_my_needs,supervisor_gives_e-work_total_control,Flexibility,Flexibility Optimized
19,2,0,1,5,3,1,0,3,1,1,1,2,1,1.494,6.18,3,5,3,5,3,4,4,3.8556,13.46934437,2,3,3,2,2.5,8.840809025,2,4,5,3.63,12.68489745,2,4,5,3.63,12.31833726
20,2,0,1,3,0,1,4,4,4,4,4,4,4,3.984,15.88,4,4,3,3,2,2,4,3.1416,11.79203959,4,5,4,4,4.25,12.6915381,1,5,5,3.63,12.77121072,2,3,5,3.3,10.23635371
21,3,0,1,6,2,1,5,3,3,3,3,2,3,2.822,11.14,3,4,4,2,4,2,2,2.9988,12.56407003,4,4,2,4,3.5,7.701458158,2,2,3,2.31,7.758755859,3,4,3,3.3,10.91801163
22,1,0,1,0,1,1,0,3,3,2,2,0,4,2.324,9.21,5,,1,5,4,5,5,3.57,11.8490756,5,4,2,5,4,7.923380243,3,4,4,3.63,11.21985338,5,5,3,4.29,13.21759029
23,2,1,0,6,1,0,5,4,3,4,4,3,3,3.486,13.7,3,4,4,4,3,4,2,3.4272,13.39918636,2,2,3,2,2.25,8.232912401,5,5,4,4.62,12.67373683,2,4,3,2.97,10.80921407
24,2,0,1,4,,5,6,1,0,2,1,1,0,0.83,2.9,4,4,1,3,1,2,2,2.4276,8.716376201,1,2,3,1,1.75,8.010990316,1,1,4,1.98,8.681629942,4,2,5,3.63,8.371965273
25,2,0,1,5,4,5,4,4,4,4,4,4,4,3.984,15.88,3,5,3,3,3,1,3,2.9988,12.10278942,5,3,5,4,4.25,13.27914301,3,3,5,3.63,12.59858419,1,1,4,1.98,5.209027468
26,2,1,1,2,0,1,4,4,2,3,2,3,3,2.822,11.17,4,5,1,5,3,4,4,3.7128,11.46999183,3,5,5,4,4.25,15.27032328,5,5,5,4.95,14.59463763,3,4,4,3.63,11.67257322
27,2,1,1,5,2,1,4,3,4,4,3,4,4,3.652,14.43,3,5,3,5,5,3,3,3.8556,13.97265614,3,3,5,3,3.5,13.44491443,5,5,5,4.95,14.59463763,5,5,5,4.95,14.72671347
28,4,0,1,6,,5,6,3,2,3,3,3,4,2.988,11.86,2,3,4,1,2,1,1,1.9992,9.891508395,4,4,4,3,3.75,11.47402588,2,5,5,3.96,13.22706745,4,4,4,3.96,11.78137078
29,2,0,1,4,4,5,3,4,4,3,4,4,3,3.652,14.86,3,3,3,3,4,2,3,2.9988,11.08916171,1,1,4,2,2,10.20380095,2,3,4,2.97,10.22182666,2,5,2,2.97,12.13663603
30,1,0,0,0,1,1,1,4,3,3,2,4,4,3.32,13.35,4,4,4,2,5,4,1,3.4272,13.64270538,4,4,4,5,4.25,12.69325708,5,4,4,4.29,12.13156684,5,5,4,4.62,13.97215188
31,2,0,1,4,4,3,3,3,2,3,3,3,3,2.822,11.18,2,1,5,1,5,3,2,2.7132,11.04546558,,2,5,3,2.5,12.83701781,5,4,4,4.29,12.13156684,4,5,2,3.63,12.35423114
32,2,0,1,3,3,4,4,4,2,1,2,2,3,2.324,9.72,3,2,4,2,4,2,5,3.1416,11.31557902,3,4,3,4,3.5,10.28024333,3,2,2,2.31,6.293711783,2,2,2,1.98,5.890685389
33,1,0,0,1,1,3,1,4,3,3,4,4,4,3.652,14.81,2,1,4,2,5,3,1,2.5704,10.15773084,5,5,5,5,5,15.10455185,4,5,5,4.62,14.1387809,4,5,4,4.29,13.86335432
34,1,0,0,0,0,4,1,4,4,4,4,4,4,3.984,15.88,1,3,4,4,3,3,2,2.856,11.38513432,5,5,2,5,4.25,8.531276867,5,5,5,4.95,14.59463763,3,5,4,3.96,13.75455677
35,2,1,0,5,1,0,4,4,4,1,4,4,4,3.486,14.86,5,5,2,5,1,1,5,3.4272,12.39150394,5,5,5,5,5,15.10455185,1,3,5,2.97,11.68687073,5,5,5,4.95,14.72671347
36,2,1,1,6,1,1,4,4,1,2,1,1,2,1.826,7.15,2,2,5,2,5,1,1,2.5704,11.95966557,3,3,4,3,3.25,11.25382277,4,4,4,3.96,11.67571011,4,4,5,4.29,12.53593237
37,2,1,1,1,2,1,0,1,2,1,1,0,1,0.996,3.93,4,2,2,4,2,3,4,2.9988,9.619904187,4,3,4,4,3.75,11.47574486,3,3,5,3.63,12.59858419,4,4,2,3.3,10.27224759
38,2,0,1,5,4,2,4,4,4,3,3,3,4,3.486,14.04,5,5,2,4,2,3,2,3.2844,12.26110667,3,3,5,4,3.75,14.05453003,4,4,5,4.29,13.59661091,3,3,3,2.97,8.836028083
39,2,0,1,2,2,0,4,3,3,4,4,4,3,3.486,13.75,5,5,3,4,3,4,3,3.8556,14.08377476,2,2,3,5,3,10.06175919,1,4,5,3.3,12.22904072,2,4,2,2.64,10.05465248
40,2,1,1,6,,2,4,4,3,4,3,4,4,3.652,14.42,2,4,4,5,3,3,3,3.4272,13.25548436,2,3,4,3,3,11.64151628,1,1,3,1.65,6.760729137,5,5,5,4.95,14.72671347
41,4,0,1,6,,2,5,4,2,4,4,4,4,3.652,14.42,3,3,4,2,4,2,2,2.856,11.82860878,3,3,5,2,3.25,12.83529884,2,4,4,3.3,10.76399665,2,4,2,2.64,10.05465248
42,2,1,1,4,0,1,4,3,2,4,3,2,3,2.822,10.75,5,4,3,4,4,4,4,3.9984,13.76737414,4,3,5,4,4,13.66683652,4,5,5,4.62,14.1387809,4,3,3,3.3,8.944825639
43,2,0,0,3,0,0,4,3,3,3,3,3,2,2.822,11.23,4,4,4,4,3,3,4,3.7128,14.01820242,3,3,3,3,3,9.06273111,3,3,4,3.3,10.67768339,3,4,4,3.63,11.67257322
44,2,1,0,3,1,0,4,3,2,3,3,2,4,2.822,11.09,4,4,3,4,4,3,4,3.7128,13.07188975,4,4,4,4,4,12.08364148,4,4,5,4.29,13.59661091,3,4,5,3.96,12.42713481
45,2,1,0,6,2,1,4,3,4,4,3,4,4,3.652,14.43,2,4,2,4,5,4,3,3.4272,10.99759846,2,2,5,4,3.25,13.83432692,2,1,4,2.31,9.137486672,4,4,2,3.3,10.27224759
46,2,0,1,6,0,0,4,4,4,4,4,4,4,3.984,15.88,4,3,5,3,5,3,3,3.7128,14.71202183,3,5,5,3,4,14.66070768,5,5,5,4.95,14.59463763,3,4,5,3.96,12.42713481
47,2,0,1,6,2,1,5,3,3,3,3,2,3,2.822,11.14,3,5,4,3,4,3,2,3.4272,13.88954784,4,4,5,3,4,13.66511754,2,3,4,2.97,10.22182666,5,5,4,4.62,13.97215188
48,2,0,0,5,0,1,4,3,2,2,3,4,2,2.656,10.93,5,5,4,5,1,2,4,3.7128,15.01219704,2,3,4,3,3,11.64151628,1,2,4,2.31,9.223799934,4,4,3,3.63,11.02680919
49,4,1,1,6,0,0,0,2,2,4,4,4,3,3.154,12.3,3,3,5,4,5,2,3,3.57,14.49417601,2,3,5,1,2.75,12.61337675,5,3,5,4.29,13.51029765,5,5,5,4.95,14.72671347
50,1,0,1,0,0,1,0,4,3,4,4,4,4,3.818,15.15,1,1,4,3,5,1,1,2.2848,9.827507022,2,4,4,1,2.75,11.03018171,5,5,5,4.95,14.59463763,5,5,5,4.95,14.72671347
51,5,0,0,6,4,2,6,3,4,3,3,4,3,3.32,13.41,3,5,3,5,4,3,5,3.9984,13.776027,4,3,5,4,4,13.66683652,1,5,5,3.63,12.77121072,5,5,5,4.95,14.72671347
52,2,1,1,6,4,2,4,4,4,4,4,4,4,3.984,15.88,3,4,4,2,2,5,3,3.2844,12.28551426,2,3,5,2,3,13.22299235,2,4,5,3.63,12.68489745,5,5,5,4.95,14.72671347
53,2,1,1,6,4,2,6,3,2,3,3,4,3,2.988,11.95,4,5,4,4,3,2,2,3.4272,14.49299801,3,4,4,2,3.25,11.2521038,2,4,5,3.63,12.68489745,4,5,5,4.62,14.61791592
54,2,1,1,6,4,4,6,3,3,4,4,4,4,3.652,14.43,3,,4,3,4,3,3,2.856,13.22823042,4,5,5,4,4.5,14.88262977,2,5,4,3.63,11.30616664,4,4,5,4.29,12.53593237
55,2,0,1,1,2,1,0,4,2,1,3,1,2,2.158,9,5,1,1,5,4,3,5,3.4272,9.417935857,2,3,4,3,3,11.64151628,1,5,5,3.63,12.77121072,1,3,3,2.31,8.618432972
56,2,0,0,0,0,0,0,4,3,4,4,4,4,3.818,15.15,4,3,5,3,2,3,4,3.4272,13.75141527,5,4,4,3,4,11.08633237,5,4,4,4.29,12.13156684,3,4,4,3.63,11.67257322
57,2,0,1,2,1,1,4,4,4,4,4,4,4,3.984,15.88,5,4,3,3,2,1,3,2.9988,12.18862416,1,2,4,2,2.25,10.81169757,2,5,5,3.96,13.22706745,2,5,2,2.97,12.13663603
58,2,0,1,2,0,1,4,4,3,4,4,4,4,3.818,15.15,3,4,4,3,3,3,1,2.9988,12.73502596,4,4,4,3,3.75,11.47402588,5,5,5,4.95,14.59463763,4,5,2,3.63,12.35423114
59,2,1,1,6,2,1,0,4,4,4,4,4,4,3.984,15.88,3,3,5,3,5,1,1,2.9988,13.75587178,4,4,5,4,4.25,14.27473314,1,5,5,3.63,12.77121072,5,5,5,4.95,14.72671347
60,2,1,1,6,4,3,4,3,3,4,3,3,3,3.154,12.25,3,4,3,4,2,4,3,3.2844,11.83718393,2,3,4,2,2.75,11.03190069,3,4,5,3.96,13.14075418,4,5,4,4.29,13.86335432
61,2,0,1,3,4,3,4,2,3,,3,3,2,2.158,9.49,3,3,4,3,2,3,2,2.856,11.72879175,3,3,2,3,2.75,6.871639449,2,3,3,2.64,8.300925851,2,2,2,1.98,5.890685389
62,2,0,0,3,3,0,4,3,4,4,4,4,4,3.818,15.16,3,4,3,4,4,4,4,3.7128,12.60116135,4,4,4,4,4,12.08364148,3,5,5,4.29,13.68292418,5,4,5,4.62,12.64472992
63,2,1,0,6,4,5,3,3,3,4,4,3,3,3.32,12.98,4,5,2,5,1,4,5,3.7128,12.14553154,3,3,4,3,3.25,11.25382277,1,3,5,2.97,11.68687073,3,4,3,3.3,10.91801163
64,2,1,1,5,1,0,4,2,1,3,3,2,3,2.324,8.96,2,3,4,2,4,3,2,2.856,11.35788038,4,4,5,4,4.25,14.27473314,4,5,5,4.62,14.1387809,4,5,4,4.29,13.86335432
65,2,1,1,4,1,0,4,3,1,1,2,2,1,1.66,6.91,5,4,3,5,2,5,2,3.7128,13.51926945,3,4,5,5,4.25,15.27204225,3,1,5,2.97,11.51424421,2,2,5,2.97,8.154370162
66,2,0,1,4,4,4,0,4,3,4,3,4,3,3.486,13.74,4,4,2,5,2,2,4,3.2844,11.45608726,2,3,2,2,2.25,6.649717364,3,4,2,2.97,7.378051768,4,4,3,3.63,11.02680919
67,2,1,1,5,4,5,3,4,4,4,4,4,4,3.984,15.88,4,5,2,5,2,2,5,3.57,12.26569234,3,2,4,2,2.75,10.03631055,1,3,4,2.64,9.765969927,3,4,4,3.63,11.67257322
68,2,0,0,4,1,1,4,4,4,3,4,3,4,3.652,14.77,3,2,5,2,2,2,3,2.7132,11.76868723,5,5,5,5,5,15.10455185,4,4,5,4.29,13.59661091,4,5,5,4.62,14.61791592
69,1,0,0,2,3,0,0,4,4,4,3,4,3,3.652,14.47,4,4,2,2,3,4,2,2.9988,10.44455669,2,3,4,2,2.75,11.03190069,3,1,4,2.64,9.593343401,4,4,3,3.63,11.02680919
70,2,0,1,4,2,0,4,4,3,4,4,4,4,3.818,15.15,2,4,5,3,5,3,3,3.57,14.28127029,5,5,5,4,4.75,14.49493625,3,4,5,3.96,13.14075418,4,5,5,4.62,14.61791592
71,2,0,1,6,4,2,4,2,2,2,2,2,2,1.992,7.94,4,5,3,4,5,3,4,3.9984,14.1522678,4,4,4,4,4,12.08364148,2,4,5,3.63,12.68489745,2,4,4,3.3,11.56377567
72,2,0,1,5,0,1,5,4,2,4,4,4,4,3.652,14.42,1,5,4,3,5,3,1,3.1416,12.99410802,3,4,5,3,3.75,14.05281106,5,5,5,4.95,14.59463763,3,5,5,4.29,14.50911836
73,2,1,1,6,4,3,3,4,4,4,4,4,4,3.984,15.88,5,5,5,1,2,2,5,3.57,14.81193287,2,5,5,3,3.75,15.04840119,1,1,5,2.31,10.60253075,5,,5,3.3,14.72671347
74,2,0,1,6,,2,6,4,3,4,4,4,4,3.818,15.15,5,5,3,4,1,1,1,2.856,12.90851952,1,3,5,3,3,14.22030146,3,5,5,4.29,13.68292418,3,5,4,3.96,13.75455677
75,2,0,1,2,3,0,0,3,3,3,4,4,4,3.486,14.09,2,2,5,2,3,4,4,3.1416,11.82939746,3,2,5,4,3.5,13.44663341,3,2,5,3.3,12.0564142,5,5,5,4.95,14.72671347
76,3,0,1,6,,3,4,1,2,4,2,4,2,2.49,9.44,1,1,5,1,5,1,1,2.142,10.16345936,5,5,5,5,5,15.10455185,5,5,5,4.95,14.59463763,5,5,5,4.95,14.72671347
77,3,0,0,6,1,1,4,3,2,3,3,3,2,2.656,10.5,4,5,3,4,1,4,3,3.4272,12.81083477,1,2,3,3,2.25,9.23022151,3,4,4,3.63,11.21985338,5,4,4,4.29,11.89016833
78,2,0,0,3,0,1,0,4,3,4,4,4,4,3.818,15.15,4,4,2,3,2,4,3,3.1416,10.65142229,2,4,4,4,3.5,12.8590285,1,4,4,2.97,10.30813992,3,4,4,3.63,11.67257322
